SRC_ID,DST_ID,SRC_NAME,DST_NAME
14103ae2192019190,guide000000151345,クィーンズスクエア横浜,クイーンズスクエア横浜
20425cc3540163438,20425ac2102066957,こだまの森,こだまの森
34424ca3430054365,34424ca3430053070,野呂山キャンプ場,野呂山オートキャンプ場
40212cc3290033077,40212ae2180022153,古賀政男記念館,古賀政男記念館（生家）
g1019665-d1313581,22211ag2132024687,医王寺,医王寺
g1021367-d12949295,g1021367-d12950732,武蔵大橋,武蔵大橋
g1021367-d2720195,11206ah3330043770,さきたま古墳公園,さきたま古墳公園
g1021375-d12970394,g1021375-d12971999,神明1丁目2号公園,神明1丁目2号公園
g1021424-d1312063,09210aa1032013626,道の駅那須与一の郷,道の駅 那須与一の郷
g1021436-d12585207,16405aj2200026228,瓜裂清水,瓜裂清水
g1022389-d8149546,40205cc3290031409,飯塚市歴史資料館,飯塚市歴史資料館
g1022937-d10750225,guide000000185259,奄美市AiAiひろば,奄美市ＡｉＡｉひろば
g1023340-d1383804,39209ab2050007073,大岐海岸,大岐海岸
g1023458-d1379004,33361cc3310040437,牛窓オリーブ園,牛窓オリーブ園
g1023564-d7357030,25204cc3290032725,曳山とイ草の館,曳山とイ草の館
g1023570-d1424459,25321ab2010002318,金勝山,金勝山
g1023574-d10212913,25209cd2112095860,水口温泉つばきの湯,水口温泉　つばきの湯
g1023578-d1529714,guide000000183472,白鬚神社,白鬚神社
g1025642-d7368614,01408af2170017473,旧余市福原漁場,旧余市福原漁場
g1066454-d11875215,13111ab2030005097,洗足池,洗足池
g1066457-d11946490,13104ag2130015626,専福寺,専福寺
g1066444-d12516360,guide000000189242,銀座coco,銀座COCO
g298173-d10134179,guide000000184797,Marine & Walk Yokohama,MARINE & WALK YOKOHAMA（マリン アンド ウォーク ヨコハマ）
g1066456-d12030325,guide000000186771,VR Park Tokyo,VR PARK TOKYO
g1066443-d10780341,guide000000183289,D.D.R Akiba本店,D.D.R AKIBA本店
g1021361-d10719358,15204cc3362088712,燕三条WING,燕三条Wing
g1066451-d10134739,guide000000187927,Magic Tokyo O,MAGIC TOKYO O
g298564-d12712817,guide000000191484,Ninja VR Kyoto,NINJA VR KYOTO
g1120985-d6406025,07308ae3302067452,羽山の森美術館,羽山の森美術館
g1023688-d10752923,35342cc3290032135,伊藤公資料館,伊藤公資料館
g780850-d1423889,guide000000182463,会津武家屋敷,会津武家屋敷
g1121318-d11719756,29363ag2132025115,浄照寺,浄照寺
g1023466-d1373513,47210aj2200025766,ひめゆりの塔,ひめゆりの塔
g1121507-d3850392,41343ag2130012764,千栗八幡宮,千栗八幡宮
g1120588-d10507986,20403af2170162657,松岡城址,松岡城址
g298564-d1386108,26108ag2130014552,高山寺,高山寺
g1066449-d11434618,guide000000172993,暁ふ頭公園,暁ふ頭公園
g1021438-d12597230,16403cd2110077779,くろば温泉,くろば温泉
g790340-d8148475,guide000000171150,陶芸ギャラリー炎彩,ギャラリー炎彩
g651657-d13131389,24205ag2132096097,専正寺,専正寺
g298182-d1311959,09382ab2040005939,瀬戸合峡,瀬戸合峡
guide000000165331,39381cc3360049491,土佐和紙工芸村くらうど,土佐和紙工芸村くらうど
guide000000170142,02323ca3280129435,岡崎天然海水プール,岡崎天然海水プール
g1022355-d1383920,38207af2170020181,麟鳳閣,麟鳳閣
g298180-d12644152,guide000000193515,秋葉の森総合公園,秋葉の森総合公園
g1121003-d8365402,07446ga3552035026,道の駅 からむし織の里しょうわ,道の駅 からむし織の里しょうわ
g1023581-d8134843,25464ag2130013059,坂田神明宮,坂田神明宮
g298565-d3948985,20201ag2130010029,象山神社,象山神社
g1023397-d8505781,26209af2170018231,今里大塚古墳公園,今里大塚古墳公園
g1121139-d9834329,14364ca3440084383,リバーサカワ・ゴルフクラブ,リバーサカワ・ゴルフクラブ
g1121414-d1397355,36366ag2130013481,黒滝寺,黒滝寺
g298564-d479878,26108ag2130014992,妙心寺,妙心寺
g298564-d1386112,26108ag2130015438,龍安寺,龍安寺
g1023546-d1425112,41207ag2130013206,誕生院,誕生院
g1066448-d4262780,13117cc3290031173,渋沢史料館,渋沢史料館
g1121269-d1424398,25442ag2130010571,甲良神社,甲良神社
g298134-d8736769,33101ah3332094247,龍ノ口グリーンシャワーの森,龍ノ口グリーンシャワーの森
g1120365-d1384159,01519ab2030005308,オタトマリ沼,オタトマリ沼
g1022324-d11658893,guide000000191316,田沢湖遊覧船,田沢湖遊覧船
g1114386-d2293659,01665ah3330042801,水郷公園,水郷公園
g298230-d1383892,38201aj2200026049,杖の淵公園,杖の淵公園
g1121597-d12814015,46492ab2052083450,岸良海岸,岸良海岸
g298180-d2423708,11204ah3330041072,別所沼公園,別所沼公園
g1120431-d9454143,03402cc3292010660,柳之御所資料館,柳之御所資料館
g1120808-d8721304,guide000000181453,美ら海ダイビングセンター,美ら海ダイビングセンター
g1066451-d10512639,guide000000187696,円山随身稲荷大明神,円山随身稲荷大明神
g298134-d323963,33201af2120008911,岡山城,岡山城
g1022933-d11726081,46463aa1032021081,道の駅 たからべ,道の駅 たからべ
